rating,genre,year,score,votes,continent,runtime,gross
R,Action,1983,4.7,460,North America,105,238534
R,Drama,1983,6.3,661,Middle East,111,114247
Not Rated,Drama,1983,6,235,Europe,92,450000
R,Action,1983,4.9,300,North America,95,1713861
PG,Comedy,1983,5.4,169,North America,96,84775
PG,Action,1983,4.5,131,North America,92,164964
R,Horror,1983,5.4,182,North America,95,154770
Not Rated,Comedy,1983,5,275,North America,80,500000
Not Rated,Drama,1983,6.7,51,Europe,84,4359
Not Rated,etc,1983,8.3,79,North America,55,2365432
R,Comedy,1984,5.3,241,North America,93,289814
Not Rated,Drama,1984,6.9,94,Oceania,95,3091
PG-13,Comedy,1984,5.7,184,Europe,90,376686
Not Rated,Animation,1984,5.1,73,North America,98,14764717
PG-13,Comedy,1984,5.1,172,North America,85,201096
PG-13,Comedy,1984,4.2,8400,North America,81,35000000
PG,Action,1984,6.6,7000,North America,101,9719000
R,Action,1984,5.7,2100,Europe,90,374530
PG,Drama,1984,8.3,4100,Europe,153,215496
R,Comedy,1984,7.9,2700,Europe,187,325717
R,Action,1984,8,812000,Europe,107,78371200
PG-13,Action,1984,6.5,132000,North America,137,30925690
PG,Action,1984,7.8,365000,North America,105,296187079
PG,Action,1984,7.3,205000,North America,126,91119319
R,Horror,1984,8.4,321000,Europe,229,5473212
R,Comedy,1984,6.7,118000,North America,96,81198894
PG,Action,1984,7.5,459000,North America,118,333107271
R,Horror,1984,6.8,30000,North America,114,8801940
R,Horror,1984,7.5,212000,North America,91,25507137
PG,Biography,1984,8.3,377000,North America,160,52066791
R,Action,1984,7.3,171000,North America,105,316360478
PG-13,Action,1984,6.4,53000,North America,114,38376497
PG,Action,1984,7.4,135000,Europe,102,20251411
PG,Drama,1984,6.6,73000,North America,107,80039064
R,Comedy,1984,6.6,50000,North America,90,40874452
PG,Comedy,1984,7.3,204000,North America,106,153633143
PG,Action,1984,6.9,86000,South America,106,86572238
PG,Action,1984,6.7,19000,North America,93,8089290
PG,Comedy,1984,7,108000,North America,93,23686027
R,Drama,1984,8.1,96000,Europe,145,2207548
R,Comedy,1984,7.9,132000,North America,82,4736202
R,Drama,1984,7.1,68000,Europe,113,8430492
PG,Comedy,1984,7.2,62000,Europe,90,20458340
PG,Action,1984,5.9,77000,North America,103,31042035
R,Horror,1984,5.6,49000,North America,92,14568989
PG,Action,1984,6.8,39000,North America,101,28733290
PG,Comedy,1984,6.3,71000,North America,111,69821334
R,Horror,1984,7.6,91000,North America,99,4228292
PG,Drama,1984,7.5,46000,North America,138,47951979
R,Comedy,1984,6.3,36000,North America,105,38435947
Not Rated,Animation,1984,8.1,157000,Asia,117,8736506
R,Horror,1984,6,47000,North America,91,32980880
R,Comedy,1984,4.9,3200,North America,88,7121719
R,Action,1984,5.9,11000,North America,128,21689062
PG,Action,1984,4.4,19000,Europe,124,14296438
PG,Action,1984,7,25000,Europe,132,8613462
R,Action,1984,6.1,30000,North America,114,17080167
R,Horror,1984,5.6,11000,North America,88,4654423
PG-13,Comedy,1984,6,15000,North America,87,25348610
PG-13,Action,1984,5.9,12000,North America,99,6770587
PG,Action,1984,6.4,25000,North America,103,6254148
PG,Action,1984,6.7,76000,North America,105,76471046
R,Action,1984,6.9,35000,North America,92,129000
PG,Action,1984,6.8,50000,North America,116,40400657
R,Biography,1984,7.8,53000,Europe,141,34700291
R,Horror,1984,6.5,17000,North America,127,25928721
PG,Drama,1984,7,44000,North America,115,28744356
PG-13,Comedy,1984,6.4,19000,North America,95,14418922
R,Comedy,1984,5.8,10000,North America,100,18644570
PG-13,Action,1984,6.3,14000,North America,99,12145169
R,Drama,1984,6.4,6600,North America,107,2912945
PG,Action,1984,6.1,15000,North America,102,8103330
PG,Drama,1984,7.4,11000,North America,111,34901614
R,Comedy,1984,3,5100,North America,105,8914881
PG,Action,1984,5.1,15000,Asia,108,28078073
R,Comedy,1984,7.5,36000,North America,89,2436000
PG,Action,1984,5.7,10000,North America,91,14255801
